Date,Close,Hour
2021-11-19,0.2221,7
2021-11-19,0.2262,8
2021-11-19,0.2258,9
2021-11-19,0.2254,10
2021-11-19,0.2257,11
2021-11-19,0.2269,12
2021-11-19,0.2339,13
2021-11-19,0.234,14
2021-11-19,0.2357,15
2021-11-19,0.2347,16
2021-11-19,0.2334,17
2021-11-19,0.2326,18
2021-11-19,0.2329,19
2021-11-19,0.232,20
2021-11-19,0.2318,21
2021-11-19,0.2322,22
2021-11-19,0.2329,23
2021-11-20,0.2332,0
2021-11-20,0.2347,1
2021-11-20,0.2335,2
2021-11-20,0.2327,3
2021-11-20,0.2331,4
2021-11-20,0.2315,5
2021-11-20,0.2333,6
2021-11-20,0.232,7
2021-11-20,0.2325,8
2021-11-20,0.2325,9
2021-11-20,0.2326,10
2021-11-20,0.2329,11
2021-11-20,0.233,12
2021-11-20,0.232,13
2021-11-20,0.2299,14
2021-11-20,0.2258,15
2021-11-20,0.2269,16
2021-11-20,0.2265,17
2021-11-20,0.2309,18
2021-11-20,0.2303,19
2021-11-20,0.2304,20
2021-11-20,0.2317,21
2021-11-20,0.2349,22
2021-11-20,0.233,23
2021-11-21,0.2311,0
2021-11-21,0.2306,1
2021-11-21,0.2296,2
2021-11-21,0.2287,3
2021-11-21,0.2278,4
2021-11-21,0.2303,5
2021-11-21,0.2301,6
2021-11-21,0.229,7
2021-11-21,0.2279,8
2021-11-21,0.2292,9
2021-11-21,0.2283,10
2021-11-21,0.2286,11
2021-11-21,0.229,12
2021-11-21,0.2274,13
2021-11-21,0.2276,14
2021-11-21,0.2294,15
2021-11-21,0.2309,16
2021-11-21,0.2288,17
2021-11-21,0.2284,18
2021-11-21,0.2271,19
2021-11-21,0.2292,20
2021-11-21,0.2285,21
2021-11-21,0.2275,22
2021-11-21,0.2255,23
2021-11-22,0.2238,0
2021-11-22,0.2238,1
2021-11-22,0.2224,2
2021-11-22,0.222,3
2021-11-22,0.2208,4
2021-11-22,0.2222,5
2021-11-22,0.2218,6
2021-11-22,0.2219,7
2021-11-22,0.2223,8
2021-11-22,0.222,9
2021-11-22,0.2233,10
2021-11-22,0.2224,11
2021-11-22,0.2227,12
2021-11-22,0.2255,13
2021-11-22,0.2232,14
2021-11-22,0.2229,15
2021-11-22,0.2227,16
2021-11-22,0.2215,17
2021-11-22,0.2188,18
2021-11-22,0.218,19
2021-11-22,0.2177,20
2021-11-22,0.2197,21
2021-11-22,0.2206,22
2021-11-22,0.2195,23
2021-11-23,0.2203,0
2021-11-23,0.2201,1
2021-11-23,0.2223,2
2021-11-23,0.2222,3
2021-11-23,0.2227,4
2021-11-23,0.2211,5
2021-11-23,0.2197,6
2021-11-23,0.2183,7
2021-11-23,0.2186,8
2021-11-23,0.2171,9
2021-11-23,0.229,10
2021-11-23,0.2222,11
2021-11-23,0.2233,12
2021-11-23,0.227,13
2021-11-23,0.2331,14
2021-11-23,0.2302,15
2021-11-23,0.2291,16
2021-11-23,0.2277,17
2021-11-23,0.2265,18
2021-11-23,0.2266,19
2021-11-23,0.2266,20
2021-11-23,0.2258,21
2021-11-23,0.225,22
2021-11-23,0.2266,23
2021-11-24,0.2263,0
2021-11-24,0.2249,1
2021-11-24,0.2218,2
2021-11-24,0.2225,3
2021-11-24,0.2232,4
2021-11-24,0.2227,5
2021-11-24,0.2213,6
2021-11-24,0.2207,7
2021-11-24,0.2216,8
2021-11-24,0.2199,9
2021-11-24,0.2169,10
2021-11-24,0.2189,11
2021-11-24,0.2176,12
2021-11-24,0.214,13
2021-11-24,0.214,14
2021-11-24,0.2162,15
2021-11-24,0.215,16
2021-11-24,0.2156,17
2021-11-24,0.2156,18
2021-11-24,0.2152,19
2021-11-24,0.2174,20
2021-11-24,0.2172,21
2021-11-24,0.2165,22
2021-11-24,0.217,23
2021-11-25,0.2187,0
2021-11-25,0.2192,1
2021-11-25,0.2198,2
2021-11-25,0.2191,3
2021-11-25,0.2167,4
2021-11-25,0.2161,5
2021-11-25,0.2162,6
2021-11-25,0.2172,7
2021-11-25,0.2159,8
2021-11-25,0.2159,9
2021-11-25,0.2178,10
2021-11-25,0.2191,11
2021-11-25,0.2223,12
2021-11-25,0.2211,13
2021-11-25,0.2222,14
2021-11-25,0.221,15
2021-11-25,0.2219,16
2021-11-25,0.2245,17
2021-11-25,0.2248,18
2021-11-25,0.223,19
2021-11-25,0.222,20
2021-11-25,0.2212,21
2021-11-25,0.2215,22
2021-11-25,0.2209,23
2021-11-26,0.219,0
2021-11-26,0.2195,1
2021-11-26,0.2185,2
2021-11-26,0.2177,3
2021-11-26,0.2173,4
2021-11-26,0.2172,5
2021-11-26,0.2169,6
2021-11-26,0.2137,7
2021-11-26,0.1994,8
2021-11-26,0.1998,9
2021-11-26,0.1991,10
2021-11-26,0.197,11
2021-11-26,0.203,12
2021-11-26,0.205,13
2021-11-26,0.204,14
2021-11-26,0.2034,15
2021-11-26,0.2044,16
2021-11-26,0.2035,17
2021-11-26,0.2038,18
2021-11-26,0.2037,19
2021-11-26,0.2062,20
2021-11-26,0.2032,21
2021-11-26,0.2027,22
2021-11-26,0.2016,23
2021-11-27,0.2036,0
2021-11-27,0.2039,1
2021-11-27,0.2052,2
2021-11-27,0.2046,3
2021-11-27,0.2079,4
2021-11-27,0.2052,5
2021-11-27,0.205,6
2021-11-27,0.2054,7
2021-11-27,0.2078,8
2021-11-27,0.2059,9
2021-11-27,0.207,10
2021-11-27,0.2063,11
2021-11-27,0.2061,12
2021-11-27,0.2071,13
2021-11-27,0.2063,14
2021-11-27,0.207,15
2021-11-27,0.207,16
2021-11-27,0.2074,17
2021-11-27,0.2073,18
2021-11-27,0.2062,19
2021-11-27,0.2032,20
2021-11-27,0.2051,21
2021-11-27,0.2053,22
2021-11-27,0.2049,23
2021-11-28,0.2039,0
2021-11-28,0.2002,1
2021-11-28,0.2017,2
2021-11-28,0.1994,3
2021-11-28,0.1983,4
2021-11-28,0.2003,5
2021-11-28,0.2005,6
2021-11-28,0.2008,7
2021-11-28,0.1994,8
2021-11-28,0.2002,9
2021-11-28,0.2013,10
2021-11-28,0.2003,11
2021-11-28,0.2003,12
2021-11-28,0.1995,13
2021-11-28,0.1993,14
2021-11-28,0.199,15
2021-11-28,0.1979,16
2021-11-28,0.1954,17
2021-11-28,0.196,18
2021-11-28,0.198,19
2021-11-28,0.1999,20
2021-11-28,0.2045,21
2021-11-28,0.2026,22
2021-11-28,0.2073,23
2021-11-29,0.2073,0
2021-11-29,0.2068,1
2021-11-29,0.2047,2
